left-image href,dealer-name,temp-auto src,title,address,price,price-addition,description,left-side,left-side (2),ownership,left-side (3),urgent-label,sticker-checkbox,sticker-checkbox (2),sticker-checkbox (3),v-label,comments-count,lazy src,cad-label href,cad-label
https://www.house.kg/details/52927466900a872c89071-39072339,Айнура Убышева,https://cdn.house.kg/house/images/a/e/9/ae9af4b04afe4a0e1a4f7832ca64e1fe_240x180.jpg,"Дом, 6 и более комнат, 313 м2, 8.7 соток","Бишкек, с. Чон-Арык, Береговая/Семетей",$ 500 000,43 730 000 сом,"Срочно Продается отличный дом 6 комнат в районе гос. резиденции по улице Береговая 313 кв м Участок 8,7 соток На первом этаже холл, гостиная и кухня. На втором этаже 3 спальни и 2 сан узла (мастер спальня со своим сан узлом). Полуцоколь - еще одна гостиная, детская комната, прачечная. 3 вид...",1 час назад,103,,,,,,,,,,,
https://www.house.kg/details/310429668cedc2fa67424-52671674,,https://cdn.house.kg/house/images/c/a/e/cae7096fba5f3b2ed6c3efdffde089c5_240x180.jpg,"Дом, 5-комн., 284 м2, 4.27 сотки","Бишкек, Сквер Тоголок Молдо, Московский Исанова Конкозва. 32А",$ 434 484,38 000 000 сом,,11 часов назад,1679,СОБСТВЕННИК,8,,,,,,,,,
https://www.house.kg/details/264714168b86626dd2a45-90505197,,https://cdn.house.kg/house/images/6/e/4/6e4a728812b9ceec44af657aab51911d_240x180.jpg,"Дом, 3-комн., 97 м2, 5 соток","с. Новопокровка, Ул. Чкалова",$ 74 950,6 555 127 сом,"Продается современный таунхаус Земля на красной книге!! Состояние: ПСО - Этот просторный дом идеально подходит для малой семьи. Расположение спокойном районе рядом находятся магазины, школы, аптеки, глобус, детские сады и многое другое. - Кроме того, удобный доступ к общественному транспорту (автобу...",19 часов назад,8710,СОБСТВЕННИК,24,СРОЧНО,Торг уместен,Один владелец,Возможен обмен,,,,,
https://www.house.kg/details/797117368d4e8b3dbe3d9-04165131,,https://cdn.house.kg/house/images/8/8/e/88e8dc5858829bdeb8eee34c74e6864f_240x180.jpg,"Дом, 5-комн., 260 м2, 22 сотки","с. Таш-Мойнок, Новая 60",$ 770 000,67 344 200 сом,"Продается дом за городом в экологически чистом районе, в селе Таш-Мойнок 15 мин от города, верх по Алма Атинской, с отдельным заездом, возле быстротока. Участок составляет 22 сотки, из них 80% - хвойные деревья. Из преимуществ участок находится вдоль речки, что дает ощутимую прохладу и приятный шум...",24 часа назад,2452,СОБСТВЕННИК,45,СРОЧНО,,,,,,,,
https://www.house.kg/details/289700067b94c80d82fe5-48814796,,https://cdn.house.kg/house/images/d/4/5/d452003689c6a1b9c7ee02c2220201a8_240x180.jpg,"Дом, 4-комн., 70 м2, 600 соток","Иссык-Кульская область, Каракол, Мирная 10/Кравцова",$ 85 000,7 434 100 сом,"Престижный район, рядом строящийся большой дом- 1 этаж, курятник для бизнеса, плодоносящий сад.",7 часов назад,626,СОБСТВЕННИК,2,,,,,,,,,
https://www.house.kg/details/689402768593fe5ea5bb0-38288712,,https://cdn.house.kg/house/images/4/c/b/4cb1a8968ec2cbfc262d924d91c6b275_240x180.jpg,"Дом, 6 и более комнат, 140 м2, 4 сотки","Иссык-Кульская область, с. Кара-Ой 11 12",$ 190 000,16 617 400 сом,"Продается катедж 140кв цена за весь катедж-190000$ Также можно купить полу катеджа цена-100000$. Также на территории находится горячий источник, новый пансионат «Каусар». До пляжа 150метр. Владельцу катеджа 2года бесплатных просвещений горячего источника.",8 часов назад,1595,СОБСТВЕННИК,1,,,,,,,,,
https://www.house.kg/details/54165845d135e1c1d71f2-42403126,,https://cdn.house.kg/house/images/0/3/4/0347866ff31898875fb6338cc2b67dd3_240x180.jpg,"Дом, 4-комн., 100 м2, 7 соток","Бишкек, с. Орто-Сай, Иманалиева 102/Советская",$ 220 000,19 241 200 сом,"Продам дом в с. Орто-Сай. Участок 6,5 соток, хозпостройки. Отопление комбинированное газ и тверлое топливо. Цена 220000 $.",35 секунд назад,35165,СОБСТВЕННИК,54,,,,,,,,,
https://www.house.kg/details/309405266c222aa22ce78-49444007,,https://cdn.house.kg/house/images/b/f/f/bff8a69723fa179e775d06d2b3587271_240x180.jpg,"Дом, 1-комн., 120 м2, 5 соток","Бишкек, Джальская больница, Ул. Ахунбаева 178/Чапаева",$ 428 767,37 500 000 сом,"Продам кирпичный дом по ул. Ахунбаева 178 пересекает Чапаева. Участок 4,32 сотки, все коммуникации, красная книга. Двор брусчатка на 3 машины.",38 секунд назад,8096,СОБСТВЕННИК,5,,,,,,,,,
https://www.house.kg/details/1225732686f35c8699ae3-76411577,Калияев Кылым Кыргыз Недвижимость,https://cdn.house.kg/house/images/4/e/6/4e68e84dd442037b61a07e4d81a1ee70_240x180.jpg,"Дом, 5-комн., 230 м2, 4 сотки",с. Байтик,$ 386 000,33 759 560 сом,"Продается Дома в селе. Байтик Закрытый вип городок Golden Villas😍😍😍 ✅на стадии строительства ✅срок завершения конец 2025 ✅В шикарном районе Байтик (первая линия😍) ✅1700$ ПСО ✅на красной книге Все документы имеются !! ПСО, 1700$ Бартер/Рассрочка. 1800$ под ключ 1950$ Рассрочка/Бартер на ква...",2 минуты назад,792,,2,,,,,,,,,
https://www.house.kg/details/135191268f5f0a8ae5e50-52852332,"Кыргыз Недвижимость, Эльдан Караев",https://cdn.house.kg/house/images/0/2/3/0238194f86aebd7db88db746afcd09f6_240x180.jpg,"Дом, 3-комн., 100 м2, 4 сотки","Бишкек, ж/м Биримдик Кут",$ 60 000,5 247 600 сом,"продаётся 1 комнатная квартира 105 серии в Среднем Джале квартира угловая, отопление центральное, все коммуникации центральные. Окна пластиковые, большая лоджия. Площадь 33 кв.м. + 4 .2 кв.м. лоджия Очень удобное расположение рядом школы №95, №72, детские сады, кафе, рестораны, джальская б...",3 минуты назад,137,,2,,,,,,,,,
