title,address,price,price-addition,description,left-side (2),ownership,urgent-label
"Дом, 6 и более комнат, 313 м2, 8.7 соток","Бишкек, с. Чон-Арык, Береговая/Семетей",$ 500 000,43 730 000 сом,"Срочно Продается отличный дом 6 комнат в районе гос. резиденции по улице Береговая 313 кв м Участок 8,7 соток На первом этаже холл, гостиная и кухня. На втором этаже 3 спальни и 2 сан узла (мастер спальня со своим сан узлом). Полуцоколь - еще одна гостиная, детская комната, прачечная. 3 вид...",103,N/T,N/T
"Дом, 5-комн., 284 м2, 4.27 сотки","Бишкек, Сквер Тоголок Молдо, Московский Исанова Конкозва. 32А",$ 434 484,38 000 000 сом,N/T,1679,СОБСТВЕННИК,N/T
"Дом, 3-комн., 97 м2, 5 соток","с. Новопокровка, Ул. Чкалова",$ 74 950,6 555 127 сом,"Продается современный таунхаус Земля на красной книге!! Состояние: ПСО - Этот просторный дом идеально подходит для малой семьи. Расположение спокойном районе рядом находятся магазины, школы, аптеки, глобус, детские сады и многое другое. - Кроме того, удобный доступ к общественному транспорту (автобу...",8710,СОБСТВЕННИК,СРОЧНО
"Дом, 5-комн., 260 м2, 22 сотки","с. Таш-Мойнок, Новая 60",$ 770 000,67 344 200 сом,"Продается дом за городом в экологически чистом районе, в селе Таш-Мойнок 15 мин от города, верх по Алма Атинской, с отдельным заездом, возле быстротока. Участок составляет 22 сотки, из них 80% - хвойные деревья. Из преимуществ участок находится вдоль речки, что дает ощутимую прохладу и приятный шум...",2452,СОБСТВЕННИК,СРОЧНО
"Дом, 4-комн., 70 м2, 600 соток","Иссык-Кульская область, Каракол, Мирная 10/Кравцова",$ 85 000,7 434 100 сом,"Престижный район, рядом строящийся большой дом- 1 этаж, курятник для бизнеса, плодоносящий сад.",626,СОБСТВЕННИК,N/T
"Дом, 6 и более комнат, 140 м2, 4 сотки","Иссык-Кульская область, с. Кара-Ой 11 12",$ 190 000,16 617 400 сом,"Продается катедж 140кв цена за весь катедж-190000$ Также можно купить полу катеджа цена-100000$. Также на территории находится горячий источник, новый пансионат «Каусар». До пляжа 150метр. Владельцу катеджа 2года бесплатных просвещений горячего источника.",1595,СОБСТВЕННИК,N/T
"Дом, 4-комн., 100 м2, 7 соток","Бишкек, с. Орто-Сай, Иманалиева 102/Советская",$ 220 000,19 241 200 сом,"Продам дом в с. Орто-Сай. Участок 6,5 соток, хозпостройки. Отопление комбинированное газ и тверлое топливо. Цена 220000 $.",35165,СОБСТВЕННИК,N/T
"Дом, 1-комн., 120 м2, 5 соток","Бишкек, Джальская больница, Ул. Ахунбаева 178/Чапаева",$ 428 767,37 500 000 сом,"Продам кирпичный дом по ул. Ахунбаева 178 пересекает Чапаева. Участок 4,32 сотки, все коммуникации, красная книга. Двор брусчатка на 3 машины.",8096,СОБСТВЕННИК,N/T
"Дом, 5-комн., 230 м2, 4 сотки",с. Байтик,$ 386 000,33 759 560 сом,"Продается Дома в селе. Байтик Закрытый вип городок Golden Villas😍😍😍 ✅на стадии строительства ✅срок завершения конец 2025 ✅В шикарном районе Байтик (первая линия😍) ✅1700$ ПСО ✅на красной книге Все документы имеются !! ПСО, 1700$ Бартер/Рассрочка. 1800$ под ключ 1950$ Рассрочка/Бартер на ква...",792,N/T,N/T
"Дом, 3-комн., 100 м2, 4 сотки","Бишкек, ж/м Биримдик Кут",$ 60 000,5 247 600 сом,"продаётся 1 комнатная квартира 105 серии в Среднем Джале квартира угловая, отопление центральное, все коммуникации центральные. Окна пластиковые, большая лоджия. Площадь 33 кв.м. + 4 .2 кв.м. лоджия Очень удобное расположение рядом школы №95, №72, детские сады, кафе, рестораны, джальская б...",137,N/T,N/T
"Дом, 5-комн., 221 м2, 2 сотки","Бишкек, с. Кок-Джар",$ 260 000,22 739 600 сом,"• Продается ЭКСКЛЮЗИВНЫЙ «Таун Хаус» в районе село Кок Жар • По улице Майрам 29 дом • Площадь дома - 220 кв.м • Площадь участка - 2,5 сотки • Дом весь построен из дорого материала • Прекрасная шумоизоляция между таун хаусами • Весь ремонт делался для себя, мебели под заказ • Все коммуникации...",731,N/T,N/T
"Дом, 4-комн., 100 м2, 7 соток","Бишкек, с. Орто-Сай, Иманалиева 102/Советская",$ 220 000,19 241 200 сом,"Продам дом в с. Орто-Сай. Участок 6,5 соток, хозпостройки. Отопление комбинированное газ и тверлое топливо. Цена 220000 $.",35165,СОБСТВЕННИК,N/T
"Дом, 1-комн., 120 м2, 5 соток","Бишкек, Джальская больница, Ул. Ахунбаева 178/Чапаева",$ 428 767,37 500 000 сом,"Продам кирпичный дом по ул. Ахунбаева 178 пересекает Чапаева. Участок 4,32 сотки, все коммуникации, красная книга. Двор брусчатка на 3 машины.",8096,СОБСТВЕННИК,N/T
"Дом, 5-комн., 230 м2, 4 сотки",с. Байтик,$ 386 000,33 759 560 сом,"Продается Дома в селе. Байтик Закрытый вип городок Golden Villas😍😍😍 ✅на стадии строительства ✅срок завершения конец 2025 ✅В шикарном районе Байтик (первая линия😍) ✅1700$ ПСО ✅на красной книге Все документы имеются !! ПСО, 1700$ Бартер/Рассрочка. 1800$ под ключ 1950$ Рассрочка/Бартер на ква...",792,N/T,N/T
"Дом, 3-комн., 100 м2, 4 сотки","Бишкек, ж/м Биримдик Кут",$ 60 000,5 247 600 сом,"продаётся 1 комнатная квартира 105 серии в Среднем Джале квартира угловая, отопление центральное, все коммуникации центральные. Окна пластиковые, большая лоджия. Площадь 33 кв.м. + 4 .2 кв.м. лоджия Очень удобное расположение рядом школы №95, №72, детские сады, кафе, рестораны, джальская б...",139,N/T,N/T
"Дом, 6 и более комнат, 310 м2, 5 соток","Бишкек, Арча-Бешик ж/м",$ 525 000,45 916 500 сом,"Продается абсолютно новый, 2-х этажный дом в центре ж/м «Арча-Бешик» Год постройки: 2025 год Дом новый, кирпичный (полтора кирпича), утеплённый, дом в районе ж/м Арча-Бешик, со всеми удобствами! Цоколь из натурального камня! Гранит! На 1-м этаже: зал, национальная комната, холл, кухня, санузел, ...",630,N/T,N/T
"Дом, 6 и более комнат, 150 м2, 4 сотки","Бишкек, с. Чон-Арык",$ 370 000,32 360 200 сом,"🏠 Срочно продаю дом в районе ВДНХ, рядом с резиденцией! 📍 Локация: Топовая, престижный район ВДНХ (Кыргыз Ордо) 📐 Участок: 3.65 соток, угловой, правильной формы 🏗️ Дом: 150 м², под самоотделку – отличный вариант для реализации своего дизайна 💧 Коммуникации: • Центральный газ • Центральная канализац...",662,N/T,N/T
"Дом, 3-комн., 90 м2, 2 сотки","Бишкек, Ак-Орго ж/м",$ 135 000,11 807 100 сом,"🏠 Продается уютный дом в ж/м Ак-Орго! 📍 Отличная локация — все центральные коммуникации, развитая инфраструктура! 🔹 Площадь дома: 87 м² 🔹 Участок: 2.2 сотки 🔹 Коммуникации: вода, газ, свет — всё подключено 🔹 Инфраструктура: рядом школы, магазины, остановки 📄 Документы полностью в порядке 💰 Цена: 1...",960,N/T,N/T
"Дом, 5-комн., 100 м2, 5 соток","Бишкек, Ак-Ордо ж/м",$ 135 000,11 807 100 сом,Продается Дом большой в районе Ак- Ордо 1 (ориентир Элнур) ул. Кошой коргон. Ленинский район.🏡✨ Основные характеристики: Этажность: 1 Площадь дома: 100 м² Площадь участка: 5 соток 🌳 Коммуникации: Центральные 🚰 Канализация: Центральное 🚽 Отопление: Комбинированное 🔥 Состояние: С ремонтом ...,675,N/T,N/T
